MatrixSize;ThreadCount;TimeMs
100;1;7.34
100;2;3.90
100;4;4.13
100;8;3.71
100;16;2.96
200;1;36.25
200;2;19.25
200;4;18.75
200;8;10.41
200;16;12.80
300;1;120.58
300;2;66.68
300;4;44.91
300;8;33.75
300;16;37.95
400;1;332.40
400;2;149.75
400;4;121.72
400;8;89.31
400;16;83.74
500;1;600.47
500;2;337.63
500;4;197.91
500;8;163.49
500;16;173.66
600;1;1199.65
600;2;577.64
600;4;323.04
600;8;241.48
600;16;249.21
700;1;1814.64
700;2;844.67
700;4;427.84
700;8;335.32
700;16;286.19
800;1;3152.71
800;2;1392.60
800;4;683.63
800;8;540.93
800;16;468.46
900;1;4275.65
900;2;1859.20
900;4;942.33
900;8;792.36
900;16;667.03
1000;1;6578.93
1000;2;2919.86
1000;4;1407.10
1000;8;1253.55
1000;16;1114.15
